"_id","name","email","password","avatar_id","token","roles","gender","is_verified","is_active"
"_5BgXEirkDtY","rootabcd","root10@gmail.com","$2b$10$3UkVoj9tOzQBAb.nxxNN3uVKqE55Q3D3PN16ZKlHy8coCK7iCNeE6","G4pnrKk1Bfr4","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6Il81QmdYRWlya0R0WSIsImVtYWlsIjoicm9vdDEwQGdtYWlsLmNvbSIsInJvbGUiOiJ1c2VyIiwiaWF0IjoxNzQ1ODEyNDcxLCJleHAiOjE3NDcxMDg0NzF9.8FswCCpPCz_jT58CixLZBdqNomhQPK3DKS3f_pBNKZo","user","none","false","true"
"_QRExlxYvZ-0","Admin","root2@gmail.com","$2b$10$fTHKdbZdfZ8LCn9VckiN7uhTArtuP.AaOje8oGmC6IqfN8YwXPNLa",,,"user","none","false","true"
"crQmXon-k1Uw","rootUser","root@noroot.com","$2b$10$JqNnZWFKFJQgyg/zw8SrMOqPcHhscigdRnGyRMYK0nPVYza0zfMCq","bmMBEvwGQJwi","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6ImNyUW1Yb24tazFVdyIsImVtYWlsIjoicm9vdEBub3Jvb3QuY29tIiwicm9sZSI6ImFkbWluIiwiaWF0IjoxNzQ3MjA2MjA0LCJleHAiOjE3NDg1MDIyMDR9.RFSU1OmszB95Jfk5MNmktv-V8g0DnoluvmUXRJkjOUc","admin","male","false","true"
"Fb4_dQ0e9B7j","test1","test@test.com","$2b$10$exhNB7giIWlAXetlpYKMBeNk/hs20bAiJW1rpBAoAUiN4TPDWOtEa",,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IkZiNF9kUTBlOUI3aiIsImVtYWlsIjoidGVzdEB0ZXN0LmNvbSIsInJvbGUiOiJ1c2VyIiwiaWF0IjoxNzQ2NzA0NDE5LCJleHAiOjE3NDgwMDA0MTl9.zJ13xsSyxBkzm_Sy87eXWYg05JKCZ-NhdqzQ5yKlpag","user","none","false","true"
"oVExBvzxEG03","nqd","nqd@root.com","$2b$10$L24IqZztSOYOMVpgMxGFsuF8HpHAErIboGZRWy9936kYRF/PAbeza",,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6Im9WRXhCdnp4RUcwMyIsImVtYWlsIjoibnFkQHJvb3QuY29tIiwicm9sZSI6InVzZXIiLCJpYXQiOjE3NDYyNDI5ODIsImV4cCI6MTc0NzUzODk4Mn0.SPzxSEPsPv11sHW9zhJA1wJfAjGg0-B-kk121QmU5zo","user","none","false","true"
"QbPHG6sL8HYf","rooot","root3@gmail.com","$2b$10$r8FenwjycARLZU1/SJU9X.d2AUoiQNIzTi1SiAWoiC/X6s9LZSKnK",,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IlFiUEhHNnNMOEhZZiIsImVtYWlsIjoicm9vdDNAZ21haWwuY29tIiwicm9sZSI6InVzZXIiLCJpYXQiOjE3NDU4MTIwOTQsImV4cCI6MTc0NzEwODA5NH0.O2SbaLx3_KNjNCCQmelqbBjlGSmqhQqINoazdrafcmM","user","none","false","true"
"S79nE5OQvnt8","demo","demo@dev.com","$2b$10$fOlokjJE0.KcVhw7/XuM/.l.Rl6PRPTLM.mguFYBqg52J/sT.MRW2",,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IlM3OW5FNU9Rdm50OCIsImVtYWlsIjoiZGVtb0BkZXYuY29tIiwicm9sZSI6InVzZXIiLCJpYXQiOjE3NDYyNDM4NDgsImV4cCI6MTc0NzUzOTg0OH0.Mef_0ofQ4ZV3RxLcRwZUuR4iClXHtdbojB8ytypHWXU","user","none","false","true"
"UZo7xQ8B_dYq","Admin","admin@gmail.com","$2b$10$Sb7QzPka0w5y1eDFtOhlSO8KnHCs.dH4gTDgXiLzItXNsjfK7dNii",,,"user","none","false","true"
"wI-3om400qeg","Admin2","adminroot@admin.com","$2b$10$INRrPXb8DpEZtddfLqaS3u2dAn1raTTIN.lNJkmhlOtsW6TwaDh7i",,,"user","none","false","true"
"X88lwfbUrvDz","Admin","root@gmail.com","$2b$10$9cyZtpslqcOq9QVtexa/y.5hrxNYk6PA7O5Cqlg8IDM6bxvefyEHC",,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6Ilg4OGx3ZmJVcnZEeiIsImVtYWlsIjoicm9vdEBnbWFpbC5jb20iLCJyb2xlIjoiYWRtaW4iLCJpYXQiOjE3NDU4MTIzOTksImV4cCI6MTc0NzEwODM5OX0.1v1HvF1Gowph3zaFNFIvoNdBLd3b_Hm060Mm11BkTic","admin","none","false","true"
